Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"DP1_CC1","OffPage","Interface","1","SCHEMATIC1","U7.12","1350","570","2C","3"
"DP1_CC1","OffPage","Downstream_Ports","3","SCHEMATIC1","R57.1,U4.A5","670","390","4C","1"
"USB3DN_TX3_N","OffPage","Interface","1","SCHEMATIC1","U7.37","1350","880","2B","3"
"USB3DN_TX3_N","OffPage","Downstream_Ports","3","SCHEMATIC1","C62.1,C62.2,J3.8","1480","470","2C","1"
"PF16","OffPage","Power_Switch","5","SCHEMATIC1","R94.2","240","1050","5B","1"
"PF16","OffPage","Interface","1","SCHEMATIC1","U7.59","790","940","3B","5"
"USB3DN_RX1B_P","OffPage","Interface","1","SCHEMATIC1","U7.19","1350","700","2C","3"
"USB3DN_RX1B_P","OffPage","Downstream_Ports","3","SCHEMATIC1","U4.A10","580","280","4D","1"
"PF3","OffPage","Interface","1","SCHEMATIC1","U7.44","790","810","3B","3"
"PF3","OffPage","Downstream_Ports","3","SCHEMATIC1","Q11.1,R61.2","130","940","5B","1"
"USB2DN/PRT_DIS_1_N","OffPage","Interface","1","SCHEMATIC1","U7.6","1350","610","2C","3"
"USB2DN/PRT_DIS_1_N","OffPage","Downstream_Ports","3","SCHEMATIC1","U4.A7,U4.B6","580","370","4C","1"
"USB3DN_TX1B_P","OffPage","Interface","1","SCHEMATIC1","U7.16","1350","680","2C","3"
"USB3DN_TX1B_P","OffPage","Downstream_Ports","3","SCHEMATIC1","C51.1,C51.2,U4.B3","580","310","4D","1"
"USB3DN_RX1A_P","OffPage","Interface","1","SCHEMATIC1","U7.10","1350","650","2C","3"
"USB3DN_RX1A_P","OffPage","Downstream_Ports","3","SCHEMATIC1","U4.B11","580","240","4D","1"
"USB3DN_TX1A_N","OffPage","Interface","1","SCHEMATIC1","U7.8","1350","640","2C","3"
"USB3DN_TX1A_N","OffPage","Downstream_Ports","3","SCHEMATIC1","C49.1,C49.2,U4.A3","580","220","4D","1"
"PF28","OffPage","Power_Switch","5","SCHEMATIC1","R98.2","240","1080","5B","1"
"PF28","OffPage","Interface","1","SCHEMATIC1","U7.77","790","1000","3B","5"
