Comment	Designator	Footprint
100N	C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C78,C83,C88,C89	capc0603x33n
0U1	C18,C19,C39,C40,C44,C45,C46,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C59,C60,C61,C62,C63,C65,C66,C67,C69,C71,C73	capc0603x33n
4U7	C23,C24,C27	capc0603x33n
0U47	C25	capc0603x33n
1U	C26,C28	capc0603x33n
220P	C29,C30	capc0603x33n
680P	C31	capc0603x33n
22U	C33,C35,C36,C38,C41,C42,C43	capc0603x33n
220U	C34	capc0603x33n
47U	C37,C74,C75,C76,C77,C79,C80,C81,C82,C84,C85,C86,C87	capc0603x33n
10U	C47	capc0603x33n
150U	C58,C64,C68,C70,C72	capc0603x33n
MUR160S_R4	D8	DIOM5443X265N
BAV70_RF	D9	BAV70RF
DIOM5226X230N	D10	DIOM5443X265N
1n4148w	D11,D12	SOD3716X135N
SST26VF016B-104I_MF	IC1	SON127P600X500X80-9N-D
UCS2114T-1-V_LX	IC2,IC7,IC8	QFN50P300X300X90-20N-D
MP2908AGF-Z	IC5	SOP65P640X120-21N
MIC23201YML-TR	IC6	SON50P300X300X100-11N-D
484050003	J1	484050003
USB1086-GF-B_REVA	J2,J3,J4	GCT_USB1086-GF-B_REVA
UE27-AE54-10H	J5,J6	UE27AE5410H
LQW18AN22NJ10D	L6,L7,L8	AISC-0603HP
IRLML2502TRPBF	Q8,Q9,Q10,Q11,Q13	SOT95P237X112-3N
BSS314PEH6327XTSA1	Q12,Q14	SOT95P260X110-3N
10K	R1,R2,R3,R6,R8,R9,R10,R11,R12,R47,R75,R85,R95	resc0603x26n
200K	R4,R5,R13	resc0603x26n
12K	R7,R42	resc0603x26n
100K	R14,R15,R27,R28,R29,R52,R56,R61,R80,R81,R90,R91,R100,R101	resc0603x26n
43K	R16,R20	resc0603x26n
49K9	R17,R21	resc0603x26n
0R	R18,R19,R33,R35,R37,R39,R46	resc0603x26n
37K4	R26,R32	resc0603x26n
1M	R30,R34	resc0603x26n
NS	R31	resc0603x26n
10	R36,R40	resc0603x26n
0R007	R38	resc0603x26n
63K4	R41	resc0603x26n
51K	R43	resc0603x26n
511K	R44,R48	resc0603x26n
91K	R45,R49	resc0603x26n
330	R50,R51	resc0603x26n
560	R53	resc0603x26n
1K	R54,R55,R59,R60	resc0603x26n
2R	R57,R58	resc0603x26n
1KDNP	R62,R64,R66,R68,R70	resc0603x26n
330R	R63,R65,R67,R69,R71	resc0603x26n
DNI	R72,R73,R82,R83,R92,R93	resc0603x26n
0R0	R74,R76,R78,R79,R84,R86,R88,R89,R94,R96,R98,R99	resc0603x26n
33K	R77,R87,R97	resc0603x26n
TPS631000DRLR	U3	SOTFL50P160X60-8N
AN1914	U4	an1914
USB7216_new	U7	usb7216
DSC1001CI2-025.0000	Y1	DSC1001CI20250000
